r
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンの白和え, season: 通年, description: 熊本の郷土料理として定着しているクレソン料理の代表例。豆腐・ごま・みりん・塩の白和え衣がクレソンの苦みをまろやかに包む。, cuisine: 和食, created_at: 2026-05-17T11:11:42.872000000Z, region: 日本・熊本郷土料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りすき焼き, season: 秋〜春, description: クレソン入りすき焼きは割り下を吸った状態が絶品です。, cuisine: 和食, created_at: 2026-05-17T10:55:32.092000000Z, region: 東京})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのクートゥ, season: 通年, description: ムング豆・ヤシの実・クミン・赤唐辛をすり合わせたペーストとクレソンを合わせる南インドのグレービー料理。, cuisine: 南インド・タミル料理, created_at: 2026-05-17T11:16:45.672000000Z, region: 南インド・タミル料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: エッグ＆クレソンカレー, season: 通年, description: 卵カレーにマスタードとクレソンを加えることで鮮やかな風味の組み合わせが生まれる。, cuisine: インド料理, created_at: 2026-05-17T11:16:43.833000000Z, region: インド料理・現代})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのナムル, season: 通年, description: さっと塩茹でしたクレソンをごま油・にんにく・白ごまで和える韓国の惣菜。, cuisine: 韓国料理, created_at: 2026-05-17T11:11:40.926000000Z, region: 韓国})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのおひたし, season: 通年, description: 一番だしに浸すだけのシンプルな調理。加熱でほろ苦さが和らぎ、出汁の旨味をまとう。, cuisine: 和食, created_at: 2026-05-17T11:11:43.814000000Z, region: 日本料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのねぎま鍋, season: 秋〜冬, description: クレソンのねぎま鍋はまぐろの出汁を吸う鍋料理。, cuisine: 和食, created_at: 2026-05-17T11:04:57.963000000Z, region: 東京})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ポタージュ・オ・クレソン, season: 通年, description: 17世紀から続くフランスの古典スープ。クレソンをバターで炒めブイヨンでピュレ状に。冷製・温製どちらでも提供される。, cuisine: フランス料理, created_at: 2026-05-17T11:11:05.752000000Z, region: フランス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのキムチ, season: 通年, description: 白菜・大根の代わりにクレソンを使うキムチ。クレソンの茎が発酵によってシャキシャキ感を保ちながら乳酸発酵の酸みが加わる。, cuisine: 韓国料理, created_at: 2026-05-17T11:24:16.236000000Z, region: 韓国発酵食品})"
"(:Recipe {needs_review: false, confidence: 0.9, name: サブジ・コルダン, season: 通年, description: 「食べられる青草」を意味するペルシャの前菜プレート。クレソン・ラディッシュ・フェタチーズ・くるみ・フラットブレッドを一緒に食べる習慣があり、日本の香の物に近い位置づけ。, cuisine: ペルシャ料理, created_at: 2026-05-17T11:16:53.362000000Z, region: ペルシャ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ヴルーテ・ド・クレソン, season: 通年, description: ポタージュを生クリームでリッチに仕立てたフランス古典料理。フランスのクレソン産地・メレヴィルでは祭りに地元レストランが特別料理として提供し、クレソンのクレームブリュレも登場する。, cuisine: フランス料理, created_at: 2026-05-17T11:11:06.670000000Z, region: フランス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのサラダ, season: 通年, description: マスタードドレッシングやビネグレットで和えるシンプルなフランス式前菜。水煮卵・ベーコン・クルトンを加えるビストロスタイルが定番。, cuisine: フランス料理, created_at: 2026-05-17T11:11:07.828000000Z, region: フランス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: アントルコート・ベアルネーズ添えクレソン, season: 通年, description: フランス料理でステーキにクレソンブーケを添えるのは古典的な盛り付けの作法。クレソンが清涼感と彩りを加える「フランス料理の象徴的な一皿」。, cuisine: フランス料理, created_at: 2026-05-17T11:11:09.056000000Z, region: フランス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのペスト, season: 通年, description: バジルペストよりも苦みが少なく独特のペパリーな辛みを持つ。パスタをはじめ多くの料理に合うモダンな活用法。イギリスのクレソン業界で近年広まった。, cuisine: イギリス料理, created_at: 2026-05-17T11:11:09.973000000Z, region: イギリス発展形})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンサンドイッチ, season: 通年, description: ヴィクトリア時代に子供が学校に持参した「貧者のパン」。卵サラダとの組み合わせはその発展形でアフタヌーンティーの定番。, cuisine: イギリス料理, created_at: 2026-05-17T11:11:10.879000000Z, region: イギリス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのソース, season: 通年, description: 茹でたクレソンをピュレ状にしてクリームやバターと合わせたソース。スモークフィッシュや赤身肉との相性が高く、リブアイステーキのベースにクレソンピュレを使うシェフも多い。, cuisine: フランス料理, created_at: 2026-05-17T11:11:11.845000000Z, region: フランス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りリゾット, season: 通年, description: フレッシュな味わいとシルキーな口当たりが特徴。仕上げにクレソンを加えることで鮮やかな緑色が生まれ、見た目の訴求力も高い。, cuisine: イタリア料理, created_at: 2026-05-17T11:11:12.873000000Z, region: イギリス・イタリア})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ポーチドエッグ×クレソン, season: 通年, description: ローストひよこ豆とポーチドエッグを合わせたブランチ料理。卵黄が絡む構造は「半熟卵×苦み野菜」という普遍的なおいしさ。和食のクレソン卵とじ丼との文化的つながりも説明しやすい。, cuisine: イギリス料理, created_at: 2026-05-17T11:11:14.314000000Z, region: イギリス})"
